{ red  grn  blu }
    1   25   89
  250  204  250
  130  130   49
   34   96   97
  241  157  107
   17   67   96
  253  180  180
   77  115   77
  192  144   54
  103  123   62
  252  191  214
  161  138   43
  252  168  144
   53  106   89
   13   49   93
   23   82   98
  219  149   75
  248  162  126
   43  101   94
  145  134   45
   90  119   69
   27   89   98
  253  186  196
  177  141   47
    8   37   91
   19   75   97
   65  111   83
  231  152   90
   15   59   95
  251  198  232
  253  174  162
  116  126   56
  207  147   64
  169  140   44
  252  195  223
   48  104   92
  253  183  188
    5   31   90
  109  124   59
   18   71   97
   59  109   86
   21   79   98
  200  145   59
  225  151   82
   71  113   80
   14   54   94
   11   43   92
   16   63   96
   30   93   98
   25   86   98
  251  201  241
  250  165  135
  253  171  154
   38   99   95
   96  121   66
  138  132   47
  253  188  205
  253  177  171
  245  159  116
  123  128   52
  153  136   44
  237  154   98
   83  117   73
  185  143   50
  212  148   69
  249  163  130
  253  178  175
  243  158  112
   93  120   68
   56  108   88
   12   46   93
  252  169  149
   16   61   95
    3   28   90
   40  100   95
  252  193  218
  203  146   62
   80  116   75
  253  175  167
  196  145   56
  165  139   44
   99  122   64
  251  199  236
  251  166  140
    7   34   91
   20   77   98
  120  127   54
  149  135   44
   36   97   96
  106  123   61
   74  114   78
   19   73   97
  252  196  227
   62  110   85
  253  172  158
   13   51   94
  113  125   57
   17   65   96
   51  105   90
  252  190  209
