{ red  grn  blu }
    4    5   10
  253  192  214
  120  124   65
   57   85   95
  229  161   96
   27   47   69
  175  147   58
   84  105   85
  250  174  154
   17   26   39
  145  136   58
  205  155   71
   70   96   92
  253  182  183
   42   69   89
  101  114   75
  243  167  126
   50   79   94
  253  187  199
  252  178  168
  247  171  141
   13   17   26
   63   91   94
  110  119   70
  133  130   61
   92  110   79
  190  151   62
  159  141   56
  219  159   84
   77  101   88
   35   59   81
   21   35   53
  238  165  112
  212  157   77
   31   53   75
  253  180  176
   24   41   61
  198  153   66
    9   12   19
  167  144   56
   46   74   92
  253  185  191
   67   93   93
   73   98   90
  234  163  104
  126  127   63
   88  107   82
  115  122   67
  183  149   60
   96  112   77
   16   22   33
  225  160   91
   54   83   95
  241  166  120
  105  116   73
  249  173  148
  251  176  162
  245  169  132
  140  133   59
   61   89   95
  151  138   57
   19   30   45
   80  102   87
   39   65   86
  253  189  205
  216  158   80
  251  175  158
  222  160   87
   11   15   23
  129  129   62
  155  139   56
   48   77   93
   82  103   86
  240  165  116
   65   92   94
  107  118   71
  236  164  108
   90  108   81
  248  172  145
  179  148   59
   20   32   49
  253  190  209
  123  126   64
   33   56   79
   23   38   57
   15   20   30
    6    8   15
   75   99   89
  163  142   56
  252  179  172
  194  152   64
  136  132   60
   52   81   95
   59   87   95
  209  156   74
   72   97   91
  113  120   69
   29   50   72
   98  113   76
  253  186  195
