{ red  grn  blu }
  255  254  254
    1   25   89
  124  135   56
  231  171  132
   32   95   97
  189  157   68
  254  209  205
   17   67   96
   73  116   81
   13   49   93
  156  146   50
   50  107   92
   22   81   98
  245  183  166
  255  234  234
  215  165  100
   99  126   68
   19   74   97
  173  151   56
  203  161   84
    8   37   91
  255  245  245
  224  168  116
   86  121   74
   61  112   86
  255  223  221
  250  195  186
   26   88   98
  238  176  148
  140  140   51
   15   59   95
   40  101   95
  110  130   62
  255  229  228
   45  104   94
  148  143   50
  132  137   53
  219  167  109
  209  163   92
   14   54   94
  164  148   52
   24   85   98
  248  189  175
  255  240  240
  235  173  139
   67  114   84
   36   98   97
   11   43   92
  255  250  249
  242  179  156
   92  123   71
  181  154   61
  252  202  196
   18   71   97
  117  132   59
   29   92   98
   56  109   89
  254  216  214
   20   78   98
  197  159   76
   79  119   77
   16   63   96
    5   31   90
  228  170  124
  104  127   65
   21   80   98
   53  108   90
   89  122   73
  193  158   72
  255  237  237
    3   28   90
   64  113   85
  240  177  152
  255  219  218
  229  171  128
   16   61   95
  237  175  143
  136  139   52
   15   56   95
  247  186  170
  152  144   50
   70  115   82
   83  120   76
   48  105   93
  226  169  120
  169  150   54
   23   83   98
   12   46   93
  160  147   51
  221  167  112
  177  153   58
  217  166  105
  243  181  161
  255  226  225
  253  205  201
  107  129   64
  255  242  242
   13   51   94
  252  198  191
  249  192  181
