Scientific Colour Map Categorical Palette
batlowW 100 scrambled Swatches
255 254 254	batlowW-1 #FFFEFE
  1  25  89	batlowW-256 #011959
124 135  56	batlowW-129 #7C8738
231 171 132	batlowW-65 #E7AB84
 32  95  97	batlowW-192 #205F61
189 157  68	batlowW-97 #BD9D44
254 209 205	batlowW-33 #FED1CD
 17  67  96	batlowW-224 #114360
 73 116  81	batlowW-160 #497451
 13  49  93	batlowW-240 #0D315D
156 146  50	batlowW-113 #9C9232
 50 107  92	batlowW-176 #326B5C
 22  81  98	batlowW-208 #165162
245 183 166	batlowW-49 #F5B7A6
255 234 234	batlowW-17 #FFEAEA
215 165 100	batlowW-81 #D7A564
 99 126  68	batlowW-144 #637E44
 19  74  97	batlowW-216 #134A61
173 151  56	batlowW-105 #AD9738
203 161  84	batlowW-89 #CBA154
  8  37  91	batlowW-248 #08255B
255 245 245	batlowW-9 #FFF5F5
224 168 116	batlowW-73 #E0A874
 86 121  74	batlowW-152 #56794A
 61 112  86	batlowW-168 #3D7056
255 223 221	batlowW-25 #FFDFDD
250 195 186	batlowW-41 #FAC3BA
 26  88  98	batlowW-200 #1A5862
238 176 148	batlowW-57 #EEB094
140 140  51	batlowW-121 #8C8C33
 15  59  95	batlowW-232 #0F3B5F
 40 101  95	batlowW-184 #28655F
110 130  62	batlowW-137 #6E823E
255 229 228	batlowW-21 #FFE5E4
 45 104  94	batlowW-180 #2D685E
148 143  50	batlowW-117 #948F32
132 137  53	batlowW-125 #848935
219 167 109	batlowW-77 #DBA76D
209 163  92	batlowW-85 #D1A35C
 14  54  94	batlowW-236 #0E365E
164 148  52	batlowW-109 #A49434
 24  85  98	batlowW-204 #185562
248 189 175	batlowW-45 #F8BDAF
255 240 240	batlowW-13 #FFF0F0
235 173 139	batlowW-61 #EBAD8B
 67 114  84	batlowW-164 #437254
 36  98  97	batlowW-188 #246261
 11  43  92	batlowW-244 #0B2B5C
255 250 249	batlowW-5 #FFFAF9
242 179 156	batlowW-53 #F2B39C
 92 123  71	batlowW-148 #5C7B47
181 154  61	batlowW-101 #B59A3D
252 202 196	batlowW-37 #FCCAC4
 18  71  97	batlowW-220 #124761
117 132  59	batlowW-133 #75843B
 29  92  98	batlowW-196 #1D5C62
 56 109  89	batlowW-172 #386D59
254 216 214	batlowW-29 #FED8D6
 20  78  98	batlowW-212 #144E62
197 159  76	batlowW-93 #C59F4C
 79 119  77	batlowW-156 #4F774D
 16  63  96	batlowW-228 #103F60
  5  31  90	batlowW-252 #051F5A
228 170 124	batlowW-69 #E4AA7C
104 127  65	batlowW-141 #687F41
 21  80  98	batlowW-210 #155062
 53 108  90	batlowW-174 #356C5A
 89 122  73	batlowW-150 #597A49
193 158  72	batlowW-95 #C19E48
255 237 237	batlowW-15 #FFEDED
  3  28  90	batlowW-254 #031C5A
 64 113  85	batlowW-166 #407155
240 177 152	batlowW-55 #F0B198
255 219 218	batlowW-27 #FFDBDA
229 171 128	batlowW-67 #E5AB80
 16  61  95	batlowW-230 #103D5F
237 175 143	batlowW-59 #EDAF8F
136 139  52	batlowW-123 #888B34
 15  56  95	batlowW-234 #0F385F
247 186 170	batlowW-47 #F7BAAA
152 144  50	batlowW-115 #989032
 70 115  82	batlowW-162 #467352
 83 120  76	batlowW-154 #53784C
 48 105  93	batlowW-178 #30695D
226 169 120	batlowW-71 #E2A978
169 150  54	batlowW-107 #A99636
 23  83  98	batlowW-206 #175362
 12  46  93	batlowW-242 #0C2E5D
160 147  51	batlowW-111 #A09333
221 167 112	batlowW-75 #DDA770
177 153  58	batlowW-103 #B1993A
217 166 105	batlowW-79 #D9A669
243 181 161	batlowW-51 #F3B5A1
255 226 225	batlowW-23 #FFE2E1
253 205 201	batlowW-35 #FDCDC9
107 129  64	batlowW-139 #6B8140
255 242 242	batlowW-11 #FFF2F2
 13  51  94	batlowW-238 #0D335E
252 198 191	batlowW-39 #FCC6BF
249 192 181	batlowW-43 #F9C0B5
