{ red  grn  blu }
  179    1  179
  255  255  102
  205  133  126
  188   78  144
  220  190  112
  179   47  156
  212  161  119
  197  106  135
  227  219  105
  192   92  139
  179   28  166
  209  147  123
  201  120  130
  183   63  149
  237  236  103
  216  175  116
  223  204  108
  181   55  152
  218  182  114
  179   17  172
  221  197  110
  199  113  132
  231  227  104
  246  245  102
  195   99  137
  179   38  160
  211  154  121
  207  140  124
  203  126  128
  185   71  147
  190   85  142
  214  168  117
  225  211  107
  221  193  111
  179   23  169
  198  110  134
  250  250  102
  200  116  131
  191   89  140
  212  158  120
  226  215  106
  219  186  113
  204  130  127
  215  172  117
  213  165  118
  194   96  138
  229  223  104
  196  103  136
  241  240  102
  210  151  122
  179   33  163
  182   59  151
  179   43  158
  202  123  129
  179    9  175
  206  137  125
  234  231  103
  208  144  124
  222  201  109
  186   75  145
  184   67  148
  217  179  115
  189   82  143
  180   51  154
  224  207  108
  179   26  167
  179   20  170
  192   91  140
  183   65  149
  216  173  116
  232  229  103
  198  108  134
  179   45  157
  222  199  110
  205  132  127
  216  177  115
  215  170  117
  201  118  131
  213  163  119
  212  159  120
  207  138  125
  182   61  150
  206  135  126
  221  195  111
  199  111  133
  220  191  112
  217  181  114
  248  248  102
  189   84  142
  193   94  139
  195  101  136
  179    5  177
  211  156  120
  209  145  123
  194   98  138
  200  115  132
  203  125  129
  187   76  145
  181   57  152
  179   40  159
