{ red  grn  blu }
   26   51  179
  255  255  102
   84  134  127
   48   94  157
  145  195  111
   63  113  142
  189  230  103
   37   73  168
  113  164  119
   43   83  162
  221  244  102
   72  123  134
   32   62  173
  163  213  107
   98  148  122
   55  104  150
  128  179  115
  175  222  105
   45   89  160
  136  187  113
  205  237  102
   68  118  138
   59  108  146
  238  249  102
   91  141  125
  105  156  121
   40   78  165
   35   68  170
   51   99  154
   29   57  176
   78  128  130
  153  204  109
  121  172  117
   70  120  136
  140  191  112
   87  138  126
  117  168  118
  169  217  106
  102  152  122
   65  115  140
   61  111  144
   33   65  172
  230  246  102
   57  106  148
   53  101  152
   28   54  177
   94  145  123
  247  252  102
   44   86  161
  158  208  108
   36   70  169
  181  226  104
  149  200  110
   75  125  132
   39   76  166
  213  240  102
   41   81  164
   31   60  174
  109  160  120
  132  183  114
   50   96  155
  196  234  103
   81  131  128
   47   91  158
  124  175  116
   92  143  124
   37   72  168
   33   64  172
   54  103  151
  130  181  114
   76  127  131
   86  136  126
   31   61  174
   35   69  170
   62  112  143
   60  110  145
  251  254  102
  156  206  108
  126  177  115
  200  235  103
   89  139  125
   64  114  141
  192  232  103
   47   93  158
   42   82  163
  134  185  113
   49   95  156
   41   80  164
   56  105  149
   58  107  147
   27   53  178
   50   98  155
  147  198  110
  242  251  102
   52  100  153
  119  170  117
  234  248  102
  100  150  122
   69  119  137
  115  166  118
