{ red  grn  blu }
   25   25    0
  255  254  203
  217   96   78
  103   52   42
  237  174   84
   55   36   17
  229  136   81
  166   70   68
  247  218  116
  241  194   90
  133   62   57
   77   43   28
  233  155   82
  225  117   80
   39   30    8
  197   79   74
  252  240  162
  150   66   63
  235  164   83
  183   74   72
  231  146   82
  250  230  138
  239  184   86
   32   28    4
  244  206   99
  227  127   80
  118   57   49
   47   33   13
  222  107   79
   89   47   34
  209   86   76
   65   39   22
  254  248  184
  245  212  107
  158   68   66
   36   29    6
  125   59   53
  141   64   60
  214   91   77
  224  112   79
  234  159   83
  175   72   70
  251  235  150
   83   45   31
  236  169   83
  248  224  127
  226  122   80
  242  200   93
   29   27    2
  220  101   78
   43   32   10
   60   38   20
  190   76   73
   96   50   38
  230  141   81
  110   54   45
  238  179   85
  232  150   82
   71   41   25
   51   34   15
  204   82   75
  240  189   87
  228  131   81
  253  244  174
  254  251  192
  179   73   71
  114   56   47
  230  139   81
   86   46   33
  231  148   82
   74   42   26
   45   32   12
  251  232  144
  224  114   79
  194   77   74
   49   34   14
  225  119   80
   53   35   16
  106   53   44
   63   38   21
  162   69   67
  187   75   72
  252  237  156
  246  215  111
  239  186   86
   37   30    7
  212   89   77
  207   84   76
  215   94   77
  254  246  179
  121   58   51
   58   37   19
  241  192   88
   30   27    3
  253  242  168
  238  181   85
  249  227  132
  235  166   83
  229  134   81
  255  253  198
