Scientific Colour Map Categorical Palette
lapaz 100 scrambled Swatches
 26  12 100	lapaz-1 #1A0C64
254 242 243	lapaz-256 #FEF2F3
 92 140 163	lapaz-129 #5C8CA3
 45  83 147	lapaz-65 #2D5393
179 172 150	lapaz-192 #B3AC96
 61 113 160	lapaz-97 #3D71A0
234 206 185	lapaz-224 #EACEB9
 36  50 126	lapaz-33 #24327E
133 158 156	lapaz-160 #859E9C
 32  32 113	lapaz-17 #202071
155 164 150	lapaz-176 #9BA496
 51  98 155	lapaz-81 #33629B
249 225 214	lapaz-240 #F9E1D6
208 186 160	lapaz-208 #D0BAA0
 75 128 163	lapaz-113 #4B80A3
 40  66 137	lapaz-49 #284289
111 150 161	lapaz-144 #6F96A1
 34  41 120	lapaz-25 #222978
 48  91 151	lapaz-73 #305B97
144 161 153	lapaz-168 #90A199
122 154 158	lapaz-152 #7A9A9E
252 234 229	lapaz-248 #FCEAE5
167 168 149	lapaz-184 #A7A895
 67 121 162	lapaz-105 #4379A2
193 178 153	lapaz-200 #C1B299
 29  23 107	lapaz-9 #1D176B
 38  58 132	lapaz-41 #263A84
222 195 171	lapaz-216 #DEC3AB
 56 106 158	lapaz-89 #386A9E
243 216 200	lapaz-232 #F3D8C8
 42  75 142	lapaz-57 #2A4B8E
 83 134 164	lapaz-121 #5386A4
101 145 162	lapaz-136 #6591A2
 30  28 110	lapaz-13 #1E1C6E
 46  87 149	lapaz-69 #2E5795
 37  54 129	lapaz-37 #253681
149 163 152	lapaz-172 #95A398
 87 137 164	lapaz-125 #5789A4
 35  45 123	lapaz-29 #232D7B
 79 131 164	lapaz-117 #4F83A4
246 221 207	lapaz-236 #F6DDCF
138 160 154	lapaz-164 #8AA09A
200 182 156	lapaz-204 #C8B69C
253 238 236	lapaz-252 #FDEEEC
116 152 159	lapaz-148 #74989F
 71 124 163	lapaz-109 #477CA3
106 148 161	lapaz-140 #6A94A1
161 166 150	lapaz-180 #A1A696
215 190 166	lapaz-212 #D7BEA6
127 156 157	lapaz-156 #7F9C9D
186 175 151	lapaz-196 #BAAF97
 49  94 153	lapaz-77 #315E99
 64 117 161	lapaz-101 #4075A1
 33  37 117	lapaz-21 #212575
239 211 192	lapaz-228 #EFD3C0
 41  71 140	lapaz-53 #29478C
 43  79 145	lapaz-61 #2B4F91
 53 102 156	lapaz-85 #35669C
251 230 221	lapaz-244 #FBE6DD
 28  18 104	lapaz-5 #1C1268
 39  62 135	lapaz-45 #273E87
 58 110 159	lapaz-93 #3A6E9F
228 201 178	lapaz-220 #E4C9B2
173 170 149	lapaz-188 #ADAA95
 97 143 163	lapaz-133 #618FA3
231 203 181	lapaz-222 #E7CBB5
146 162 152	lapaz-170 #92A298
190 176 152	lapaz-198 #BEB098
 94 142 163	lapaz-131 #5E8EA3
 27  15 102	lapaz-3 #1B0F66
 40  69 139	lapaz-51 #28458B
 73 126 163	lapaz-111 #497EA3
114 151 160	lapaz-146 #7297A0
 60 112 160	lapaz-95 #3C70A0
141 160 153	lapaz-166 #8DA099
124 155 158	lapaz-154 #7C9B9E
197 180 155	lapaz-202 #C5B49B
 37  56 130	lapaz-39 #253882
 85 136 164	lapaz-123 #5588A4
 55 104 157	lapaz-87 #37689D
253 236 232	lapaz-250 #FDECE8
247 223 211	lapaz-238 #F7DFD3
241 213 196	lapaz-230 #F1D5C4
 62 115 161	lapaz-99 #3E73A1
176 171 149	lapaz-190 #B0AB95
244 218 203	lapaz-234 #F4DACB
 48  93 152	lapaz-75 #305D98
 33  39 118	lapaz-23 #212776
 90 139 163	lapaz-127 #5A8BA3
 47  89 150	lapaz-71 #2F5996
218 193 168	lapaz-214 #DAC1A8
 36  52 127	lapaz-35 #24347F
 39  64 136	lapaz-47 #274088
103 146 162	lapaz-138 #6792A2
 31  30 112	lapaz-15 #1F1E70
 43  77 144	lapaz-59 #2B4D90
152 164 151	lapaz-174 #98A497
 34  43 121	lapaz-27 #222B79
135 159 155	lapaz-162 #879F9B
236 208 189	lapaz-226 #ECD0BD
