Scientific Colour Map Categorical Palette
managua 50 Swatches
255 207 103	managua-1 #FFCF67
249 197 100	managua-6 #F9C564
243 187  96	managua-11 #F3BB60
235 176  93	managua-17 #EBB05D
229 166  89	managua-22 #E5A659
223 157  86	managua-27 #DF9D56
217 149  84	managua-32 #D99554
211 140  81	managua-37 #D38C51
204 130  77	managua-43 #CC824D
198 123  75	managua-48 #C67B4B
192 115  72	managua-53 #C07348
185 108  70	managua-58 #B96C46
179 100  68	managua-63 #B36444
171  92  65	managua-69 #AB5C41
164  85  63	managua-74 #A4553F
157  79  61	managua-79 #9D4F3D
149  72  60	managua-84 #95483C
142  66  58	managua-89 #8E423A
132  59  57	managua-95 #843B39
124  54  57	managua-100 #7C3639
116  49  57	managua-105 #743139
109  45  58	managua-110 #6D2D3A
102  42  61	managua-115 #662A3D
 95  41  65	managua-121 #5F2941
 90  40  70	managua-126 #5A2846
 85  42  76	managua-131 #552A4C
 82  44  83	managua-136 #522C53
 79  49  93	managua-142 #4F315D
 77  53 102	managua-147 #4D3566
 76  59 111	managua-152 #4C3B6F
 76  65 121	managua-157 #4C4179
 76  72 131	managua-162 #4C4883
 77  81 142	managua-168 #4D518E
 79  88 151	managua-173 #4F5897
 81  96 159	managua-178 #51609F
 83 103 167	managua-183 #5367A7
 85 111 174	managua-188 #556FAE
 88 120 182	managua-194 #5878B6
 91 128 188	managua-199 #5B80BC
 94 136 194	managua-204 #5E88C2
 97 144 200	managua-209 #6190C8
100 152 206	managua-214 #6498CE
104 163 213	managua-220 #68A3D5
107 172 219	managua-225 #6BACDB
111 181 225	managua-230 #6FB5E1
114 190 230	managua-235 #72BEE6
118 199 236	managua-240 #76C7EC
122 211 243	managua-246 #7AD3F3
125 221 249	managua-251 #7DDDF9
129 231 255	managua-256 #81E7FF
