{ red  grn  blu }
    3   19   39
  252  244  217
   65  138  128
   27   96  143
  135  194  105
    7   57  102
  209  227  159
   47  121  139
   89  160  114
  234  237  191
    5   37   70
   14   77  129
   38  111  144
  174  213  125
  107  176  106
   55  129  134
   76  149  121
   32  104  145
    5   28   54
   10   67  116
    6   47   86
   51  125  137
  193  220  141
  244  241  205
   98  168  110
  154  204  112
   42  116  142
   71  143  125
   60  134  131
  223  232  176
  120  185  104
   20   87  138
   83  155  117
   23   92  141
  239  239  198
    4   24   46
   73  146  123
  216  229  168
   12   72  123
   53  127  135
   40  113  143
   93  164  112
  184  217  133
   49  123  138
  102  172  108
  248  243  211
  144  199  108
  127  189  104
  229  234  184
    7   52   94
   68  141  126
   80  152  119
  113  180  105
   58  132  132
   17   82  134
    5   33   62
    6   42   78
   30  100  145
  201  224  150
  164  209  118
   35  108  145
    8   62  109
   63  136  129
   44  118  141
   87  158  115
   43  117  141
    5   35   66
   59  133  132
   57  131  133
   39  112  144
  232  235  188
   69  142  125
  123  187  104
  105  174  107
  188  219  137
   22   89  140
  159  206  115
   48  122  139
    5   30   58
  213  228  163
  246  242  208
    7   54   98
   66  140  127
  140  197  106
    6   49   90
    5   26   50
   54  128  134
   11   69  120
  241  240  202
  226  233  180
  220  231  172
  250  243  214
   91  162  113
   95  166  111
   36  109  145
    6   44   82
   52  126  136
   72  145  124
   75  147  122
  131  192  104
