Scientific Colour Map Categorical Palette
nuuk 100 scrambled Swatches
  5  89 140	nuuk-1 #05598C
254 254 178	nuuk-256 #FEFEB2
161 166 152	nuuk-129 #A1A698
 83 119 133	nuuk-65 #537785
195 195 133	nuuk-193 #C3C385
 45 100 131	nuuk-33 #2D6483
181 181 145	nuuk-161 #B5B591
125 143 145	nuuk-97 #7D8F91
221 221 139	nuuk-225 #DDDD8B
188 188 139	nuuk-177 #BCBC8B
173 174 149	nuuk-145 #ADAE95
145 155 150	nuuk-113 #919B96
104 131 139	nuuk-81 #68838B
 63 108 130	nuuk-49 #3F6C82
 28  94 135	nuuk-17 #1C5E87
205 205 131	nuuk-209 #CDCD83
238 238 156	nuuk-240 #EEEE9C
135 149 148	nuuk-105 #879594
177 178 147	nuuk-153 #B1B293
 94 125 136	nuuk-73 #5E7D88
115 137 142	nuuk-89 #73898E
200 199 131	nuuk-201 #C8C783
246 246 167	nuuk-248 #F6F6A7
192 191 136	nuuk-185 #C0BF88
153 160 151	nuuk-121 #99A097
212 212 134	nuuk-217 #D4D486
 73 113 131	nuuk-57 #497183
167 170 151	nuuk-137 #A7AA97
185 185 142	nuuk-169 #B9B98E
 19  92 137	nuuk-9 #135C89
 37  97 133	nuuk-25 #256185
 54 104 130	nuuk-41 #366882
230 230 147	nuuk-233 #E6E693
 99 128 137	nuuk-77 #638089
170 172 150	nuuk-141 #AAAC96
175 176 148	nuuk-149 #AFB094
183 183 143	nuuk-165 #B7B78F
179 180 146	nuuk-157 #B3B492
 50 102 130	nuuk-37 #326682
130 146 147	nuuk-101 #829293
110 134 140	nuuk-85 #6E868C
 24  93 136	nuuk-13 #185D88
 78 116 132	nuuk-61 #4E7484
250 250 173	nuuk-252 #FAFAAD
225 225 143	nuuk-229 #E1E18F
202 202 131	nuuk-205 #CACA83
 41  98 132	nuuk-29 #296284
164 168 151	nuuk-133 #A4A897
 13  91 139	nuuk-5 #0D5B8B
193 193 134	nuuk-189 #C1C186
209 208 132	nuuk-213 #D1D084
216 216 136	nuuk-221 #D8D888
 59 106 130	nuuk-45 #3B6A82
120 140 144	nuuk-93 #788C90
190 189 137	nuuk-181 #BEBD89
149 158 151	nuuk-117 #959E97
157 163 152	nuuk-125 #9DA398
242 242 161	nuuk-244 #F2F2A1
197 197 132	nuuk-197 #C5C584
 33  95 134	nuuk-21 #215F86
 88 122 134	nuuk-69 #587A86
186 186 140	nuuk-173 #BABA8C
140 152 149	nuuk-109 #8C9895
 68 111 130	nuuk-53 #446F82
235 234 152	nuuk-237 #EBEA98
147 156 151	nuuk-115 #939C97
192 192 135	nuuk-187 #C0C087
171 173 150	nuuk-143 #ABAD96
252 252 175	nuuk-254 #FCFCAF
118 139 143	nuuk-91 #768B8F
219 218 137	nuuk-223 #DBDA89
214 214 135	nuuk-219 #D6D687
112 135 141	nuuk-87 #70878D
189 189 138	nuuk-179 #BDBD8A
228 227 145	nuuk-231 #E4E391
210 210 133	nuuk-215 #D2D285
 31  95 134	nuuk-19 #1F5F86
 16  91 138	nuuk-7 #105B8A
166 169 151	nuuk-135 #A6A997
  9  90 140	nuuk-3 #095A8C
 66 109 130	nuuk-51 #426D82
 21  92 137	nuuk-11 #155C89
196 196 133	nuuk-195 #C4C485
 70 112 131	nuuk-55 #467083
240 240 158	nuuk-242 #F0F09E
191 190 136	nuuk-183 #BFBE88
199 198 132	nuuk-199 #C7C684
133 148 147	nuuk-103 #859493
 96 126 136	nuuk-75 #607E88
180 181 145	nuuk-159 #B4B591
204 203 131	nuuk-207 #CCCB83
207 207 132	nuuk-211 #CFCF84
223 223 141	nuuk-227 #DFDF8D
187 187 139	nuuk-175 #BBBB8B
138 151 149	nuuk-107 #8A9795
142 154 150	nuuk-111 #8E9A96
 39  97 132	nuuk-27 #276184
128 145 146	nuuk-99 #809192
162 167 152	nuuk-131 #A2A798
 47 101 131	nuuk-35 #2F6583
