{ red  grn  blu }
    3    6    9
  249  249  249
   80  123  188
   22   59   94
  160  175  201
   14   32   50
  123  152  202
   39   88  142
  202  206  213
   11   20   30
   18   45   72
   55  103  166
  181  189  204
  103  139  199
   29   73  118
  141  163  201
  226  227  229
   25   66  106
   16   38   61
  114  146  201
  151  169  201
   67  113  178
   13   26   40
  170  182  202
   47   96  155
  215  217  221
   34   81  131
  191  197  207
   20   52   84
  238  238  239
  132  158  202
    8   14   22
   91  131  195
   32   77  125
   13   23   35
   73  118  184
  137  160  202
   24   62  100
   61  108  172
   14   29   45
  108  143  200
   27   70  112
    5   10   16
  209  211  217
   19   49   78
  165  179  202
   17   42   67
  232  233  234
  146  166  201
  197  201  210
  156  172  201
   97  135  197
  119  149  201
   43   92  148
   15   35   55
  176  186  203
   50   99  160
  243  243  244
   10   18   27
   36   84  136
   86  127  192
  127  155  202
  219  221  224
  186  194  206
   21   55   88
   17   43   69
    6   12   19
   70  115  181
   23   60   97
  212  214  219
  148  168  201
   76  120  186
   13   25   37
  100  137  198
  139  162  201
  121  151  202
   45   94  152
   14   30   47
  184  191  205
   25   64  103
   94  133  196
  178  188  204
   83  125  190
   28   72  115
  206  209  215
   12   22   32
  158  174  201
  222  224  226
   52  101  163
   58  106  169
   15   37   58
  235  236  237
  194  199  209
   64  110  175
   33   79  128
   15   33   53
  229  230  231
    4    8   13
   19   50   81
   30   75  122
