{ red  grn  blu }
   28   14   52
  239  252  221
  116  111   83
  135  182  102
  107   70   79
  121  139   86
  113   93   82
  184  232  161
   81   36   70
   55   22   61
  153  208  125
  216  247  197
  114  101   82
  111   83   81
  125  159   91
  118  124   84
   99   55   76
  129  170   95
   68   29   65
  167  221  142
   91   45   73
  119  131   85
  117  117   84
   41   18   56
  229  250  210
  123  149   88
  142  195  112
  113   97   82
  115  106   83
  112   88   81
  109   77   80
  201  241  180
  104   63   78
  111   86   81
  114   99   82
  193  237  171
  117  120   84
   35   16   54
  108   74   80
  138  189  106
  115  109   83
  110   80   81
   95   50   75
  102   59   77
  120  135   86
   48   20   58
  116  114   84
  118  127   85
  113   95   82
  112   91   82
  175  227  152
   75   32   68
  209  244  189
  122  144   87
  124  154   89
  147  202  118
   62   25   63
  223  249  204
  160  215  133
  234  251  216
   86   41   72
  132  176   98
  127  164   93
  114  104   83
  106   66   79
  125  156   90
  188  235  166
  112   87   81
  116  115   84
  114  103   83
   93   48   74
  171  224  147
   45   19   57
  117  119   84
  106   68   79
  205  243  185
  118  125   85
   72   30   67
  164  218  138
   52   21   60
   89   43   73
  109   75   80
  140  192  109
  113   96   82
   38   17   55
  156  212  129
  113   98   82
  145  198  115
  213  246  193
  123  151   89
  117  122   84
  220  248  201
   78   34   69
   83   39   71
   58   24   62
  112   92   82
  108   72   80
  237  252  218
  115  107   83
  130  173   96
