{ red  grn  blu }
    7    7    7
  255  230  230
  150  142   92
   77   76   59
  229  170  144
   44   44   39
  109  108   74
  196  164  116
  251  195  189
   28   28   25
  254  212  211
  127  125   82
   92   92   67
  214  167  128
  242  179  165
  175  156  104
   60   60   50
  253  204  200
   20   19   18
  118  116   78
  100  100   71
  162  149   98
   68   68   55
  255  221  220
   36   36   32
  247  187  177
  138  133   87
  221  168  136
  205  165  122
  187  161  111
  235  174  153
   85   84   63
   52   51   44
  225  169  140
  244  183  171
  156  146   95
   14   14   13
   24   24   22
  255  226  225
   72   72   57
  249  191  183
  104  104   72
  133  129   84
   40   40   35
  239  176  159
  123  121   80
   96   96   69
  113  112   76
  169  153  101
  144  138   89
  218  167  132
  252  199  195
   32   32   29
   56   56   47
  181  159  108
  254  208  206
  255  217  215
   81   80   61
   64   64   52
  209  166  125
  201  165  120
  232  172  148
  192  162  114
   89   89   65
   48   48   42
  255  223  223
  153  144   94
  248  189  180
  253  201  198
  254  210  208
  120  118   79
  223  169  138
  253  206  203
  233  173  151
  251  197  192
  107  106   73
  237  175  156
  255  228  227
   87   87   64
   42   42   37
  219  168  134
  147  140   91
  254  215  213
  115  114   77
   62   62   51
  178  157  106
  243  181  168
  141  135   88
   70   70   56
  111  110   75
   83   82   62
   22   22   20
  159  148   97
  240  178  162
  130  127   83
   58   58   48
  246  185  174
  207  166  124
  199  164  118
  125  123   81
